source,target
https://www.clipstudio.net/gd?id=csp-help-manual-en,https://www.clipstudio.net/gd?id=csp-help-manual-en
https://gd.clip-studio.com/gd?id=csp-help-support&app=,https://gd.clip-studio.com/gd?id=csp-help-support&app=
http://www.clipstudio.net/en/site/ads/csp/product_pro.html?app=,http://www.clipstudio.net/en/site/ads/csp/product_pro.html?app=
http://www.clipstudio.net/en/site/sync/csp/?app=,http://www.clipstudio.net/en/site/sync/csp/?app=
http://www.clipstudio.net/en/site/menu_csp/index.html,http://www.clipstudio.net/en/site/menu_csp/index.html
https://www.clipstudio.net/en/functions,https://www.clipstudio.net/en/functions
https://www.clipstudio.net/gd?id=csp-eura-ai-en,https://www.clipstudio.net/gd?id=csp-eura-ai-en
https://www.clipstudio.net/gd?id=csp-userguide-ai-en,https://www.clipstudio.net/gd?id=csp-userguide-ai-en
https://apps.apple.com/us/app/clip-studio-paint-ex-for-manga/id1262985592?ls=1&mt=8,https://apps.apple.com/us/app/clip-studio-paint-ex-for-manga/id1262985592?ls=1&mt=8
https://www.clipstudio.net/gd?id=csp-samsungdex-info-enus,https://www.clipstudio.net/gd?id=csp-samsungdex-info-enus
https://www.clipstudio.net/gd?id=improvement-enus,https://www.clipstudio.net/gd?id=improvement-enus
https://www.clipstudio.net/gd?id=csp-restarting-problem_en,https://www.clipstudio.net/gd?id=csp-restarting-problem_en
https://gd.clip-studio.com/gd?id=csp-info-corrupted-en-us,https://gd.clip-studio.com/gd?id=csp-info-corrupted-en-us
https://gd.clip-studio.com/gd?id=csp-tutorial-youtube-europe,https://gd.clip-studio.com/gd?id=csp-tutorial-youtube-europe
Layer comp ,Композиция слоёв 
Apply to,Применить к
All pages,Все страницы
Selected pages,Выбранные страницы
There are no layer comps on the selected pages.,На выбранных страницах нет композиций слоёв.
Analyze colors and colorize,Анализировать цвета и раскрасить
Colorize areas without hints,Раскрасить области без подсказок
Reset all,Сбросить все
"Analyze colors and colorize

 The software analyzes the hint image for each color and then adds color. 
 You can make detailed adjustments to the colors using the Tone Curve.
 Up to ten colors can be used, depending on the size of the hint image. 
 Colors exceeding this amount will be ignored.
",
Input,Ввод
Output,Вывод
^0%1d) R:^1%3d G:^2%3d B:^3%3d,^0%1d) К:^1%3d З:^2%3d С:^3%3d
Blur strength,Сила размытия
Blur accuracy,Точность размытия
Remove main lines,Удалить основные линии
Run,Выполнить
Save options,Параметры сохранения
Current canvas,Текущий холст
Open canvases,Открытые холсты
Specified pages,Указанные страницы
Close without saving,Закрыть без сохранения
Save and close,Сохранить и закрыть
Save As and close,Сохранить как и закрыть
Do not close open canvases,Не закрывать открытые холсты
Menu commands,Команды меню
Auto actions,Автооперации
Invalid page specification.,Недопустимое указание страницы.
Includes page numbers outside of the range. Please enter a value between %d and %d.,Включает номера страниц вне диапазона. Введите значение от %d до %d.
Execution command is not specified.,Команда выполнения не указана.
Next batch process,Следующий пакетный процесс
Continue,Продолжить
Show the settings dialog each time,Показывать диалог настроек каждый раз
Skip,Пропустить
Do not show this dialog again,Больше не показывать этот диалог
Start processing of %s.,Запуск обработки %s.
The following processes could not be carried out because the file window was closed.,"Следующие процессы не удалось выполнить, так как окно файла было закрыто."
The following processes could not be carried out because the page management of the file(s) has changed.,"Следующие процессы не удалось выполнить, так как управление страницами файла(ов) изменилось."
 - New, - Создать
 - 3D Preview for Binding, - 3D-просмотр для переплёта
 - Export fanzine printing data, - Экспорт данных печати фанзина
 - Change page settings, - Изменить настройки страницы
 - Change project settings, - Изменить настройки проекта
Error,Ошибка
Warning/Note,Предупреждение/примечание
This file cannot be used for exporting fanzine printing data.,Этот файл нельзя использовать для экспорта данных печати фанзина.
"Fanzine settings are being used, 
but this setting cannot be used for fanzine print data.",
3D preview for binding cannot be executed with this setting.,3D-просмотр для переплёта нельзя выполнить с этой настройкой.
There is recommended content to check several settings.,Есть рекомендуемое содержимое для проверки нескольких настроек.
Change book size.,Изменить размер книги.
Book size,Размер книги
Width,Ширина
Height,Высота
Same size,Тот же размер
Scale up/down,Увеличить/уменьшить масштаб
Print output at corner store,Печать в копировальном центре
Comment for print vendor,Комментарий для типографии
Binding information,Сведения о переплёте
Trim (finish) size (unit: mm),Размер обрезки (готовый) (единица: мм)
Bleed width,Ширина выпуска под обрез
Resolution,Разрешение
Gray,Серый
Page range,Диапазон страниц
Export cover page and back cover page,Экспортировать страницу обложки и страницу задней обложки
Fanzine setting,Настройка фанзина
Exporting was completed.,Экспорт завершён.
You can access to the data exported from here.,Доступ к экспортированным данным можно получить отсюда.
Check exported data,Проверить экспортированные данные
You can send data from here to corner stores.,Отсюда можно отправить данные в копировальные центры.
You can publish comic for Kindle right now from here.,Отсюда можно прямо сейчас опубликовать комикс для Kindle.
Proceed to Kindled Direct Publishing (KDP),Перейти к Kindle Direct Publishing (KDP)
Title (required),Название (обязательно)
Title (sort key),Название (ключ сортировки)
Author (sort key),Автор (ключ сортировки)
Publisher,Издатель
Publishing company (sort key),Издательство (ключ сортировки)
Language,Язык
Date modified,Дата изменения
Type of identifier,Тип идентификатора
Value of identifier,Значение идентификатора
Export back cover page,Экспортировать страницу задней обложки
Insert a blank page so the last pages will be a two-page spread.,"Вставить пустую страницу, чтобы последние страницы образовали разворот."
Compatible with EBPAJ EPUB3 production guide,Совместимо с руководством по производству EBPAJ EPUB3
Export for Kindle format,Экспорт в формате Kindle
Guideline,Направляющая
Export options,Параметры экспорта
Please enter the title.,Введите название.
EPUB advanced settings,Расширенные настройки EPUB
Advanced Settings for Kindle,Расширенные настройки для Kindle
"Additional bibliographic information.
Use with the default settings if you don't need to change it.",
Afar,Афарский
Abkhaz,Абхазский
Avestan,Авестийский
Afrikaans,Африкаанс
Akan,Акан
Amharic,Амхарский
Arabic,Арабский
Assamese,Ассамский
Avaric,Аварский
Aymara,Аймара
Azerbaijani,Азербайджанский
Bashkir,Башкирский
Belarusian,Белорусский
Bulgarian,Болгарский
Bihari,Бихари
Bislama,Бислама
Bambara,Бамбара
Bengali,Бенгальский
Tibetan,Тибетский
Breton,Бретонский
Bosnian,Боснийский
Catalan,Каталанский
Chechen,Чеченский
Chamorro,Чаморро
Corsican,Корсиканский
Cree,Кри
Czech,Чешский
Church Slavic,Церковнославянский
Chuvash,Чувашский
Welsh,Валлийский
Danish,Датский
German,Немецкий
Divehi,Дивехи
Dzongkha,Дзонг-кэ
Ewe,Эве
Greek,Греческий
English,English
Esperanto,Эсперанто
Spanish,Испанский
Estonian,Эстонский
Basque,Баскский
Persian,Персидский
Fulah,Фула
Finnish,Финский
Fijian,Фиджийский
Faroese,Фарерский
French,Французский
Western Frisian,Западнофризский
Irish,Ирландский
Scottish Gaelic,Шотландский гэльский
Galician,Галисийский
Guarani,Гуарани
Gujarati,Гуджарати
Manx,Мэнский
Hausa,Хауса
Hebrew,Иврит
Hindi,Хинди
Hiri Motu,Хири-моту
Croatian,Хорватский
Hungarian,Венгерский
Armenian,Армянский
Herero,Гереро
"Interlingua
(International Auxiliary Language Association)",
Indonesian,Индонезийский
Interlingue,Интерлингве
Igbo,Игбо
Inupiaq,Инупиак
Icelandic,Исландский
Italian,Итальянский
Inuktitut,Инуктитут
Japanese,日本語
Javanese,Яванский
Georgian,Грузинский
Kongo,Конго
Kikuyu,Кикуйю
Kwanyama,Кваньяма
Kazakh,Казахский
Kalaallisut,Гренландский
Khmer,Кхмерский
Kannada,Каннада
Korean,Корейский
Kanuri,Канури
Kashmiri,Кашмири
Kurdish,Курдский
Komi,Коми
Cornish,Корнский
Kirghiz,Киргизский
Latin,Латынь
Luxembourgish,Люксембургский
Ganda,Ганда
Lingala,Лингала
Lao,Лаосский
Lithuanian,Литовский
Luba-Katanga,Луба-катанга
Latvian,Латышский
Malagasy,Малагасийский
Marshallese,Маршалльский
Maori,Маори
Macedonian,Македонский
Malayalam,Малаялам
Mongolian,Монгольский
Moldavian,Молдавский
Marathi,Маратхи
Malay,Малайский
Maltese,Мальтийский
Burmese,Бирманский
Nauru,Науру
Norwegian Bokmål,Норвежский букмол
North Ndebele,Северный ндебеле
Nepali,Непальский
Ndonga,Ндонга
Dutch,Нидерландский
Norwegian Nynorsk,Норвежский нюнорск
Norwegian,Норвежский
South Ndebele,Южный ндебеле
Navajo,Навахо
Chichewa,Чичева
Occitan,Окситанский
Ojibwa,Оджибве
Oromo,Оромо
Oriya,Ория
Ossetian,Осетинский
Panjabi,Панджаби
Pali,Пали
Polish,Польский
Pashto,Пушту
Portuguese,Португальский
Quechua,Кечуа
Raeto-Romance,Ретороманский
Kirundi,Рунди
Romanian,Румынский
Russian,Русский
Kinyarwanda,Киньяруанда
Sanskrit,Санскрит
Sardinian,Сардинский
Sindhi,Синдхи
Northern Sami,Северносаамский
Sango,Санго
Serbo-Croatian,Сербохорватский
Sinhalese,Сингальский
Slovak,Словацкий
Slovenian,Словенский
Samoan,Самоанский
Shona,Шона
Somali,Сомалийский
Albanian,Албанский
Serbian,Сербский
Swati,Свати
Sotho,Сото
Sundanese,Сунданский
Swedish,Шведский
Swahili,Суахили
Tamil,Тамильский
Telugu,Телугу
Tajik,Таджикский
Thai,Тайский
Tigrinya,Тигринья
Turkmen,Туркменский
Tagalog,Тагальский
Tswana,Тсвана
Tonga,Тонганский
Turkish,Турецкий
Tsonga,Тсонга
Tatar,Татарский
Twi,Чви
Tahitian,Таитянский
Uyghur,Уйгурский
Ukrainian,Украинский
Urdu,Урду
Uzbek,Узбекский
Venda,Венда
Vietnamese,Вьетнамский
Volapük,Волапюк
Wolof,Волоф
Xhosa,Коса
Yiddish,Идиш
Yoruba,Йоруба
Zhuang,Чжуанский
Chinese,Китайский
Zulu,Зулу
en,en
Prefix,Префикс
Suffix,Суффикс
Cover page,Страница обложки
Cover (inside),Обложка (внутренняя сторона)
Back cover (inside),Задняя обложка (внутренняя сторона)
Back cover page,Страница задней обложки
Body pages,Страницы основного блока
Preset of brush shape settings,Набор настроек формы кисти
Please enter name.,Введите имя.
Show slider,Показать ползунок
Add current size to preset,Добавить текущий размер в набор настроек
Update preset with current size,Обновить набор настроек текущим размером
Delete preset of current size,Удалить набор настроек текущего размера
Delete preset,Удалить набор настроек
Item size,Размер элемента
Small,Маленький
Default,По умолчанию
For detecting pen pressure,Для определения нажима пера
Adjust pen pressure,Настроить нажим пера
Check adjusted settings,Проверить настроенные параметры
"Adjust your pen pressure settings to get the perfect drawing feel. 
Setup will be finished in just two easy steps.

If you don’t have a tablet pen, select “Set up later”.",
"Draw freely on the canvas with the pen. 
While drawing, intentionally vary your pen pressure as you would normally while drawing. 

When you’ve finished drawing, select “Check adjusted settings”.",
"Failed to detect pen pressure from the pen.
Please try changing the following settings and try again.",
"Draw with the pen again to check the adjusted pen pressure settings.
You can make slight manual adjustments with the “Stronger” or “Lighter” buttons.",
Set up now,Настроить сейчас
Set up later,Настроить позже
Done,Готово
Back to previous screen,Назад к предыдущему экрану
Stronger,Сильнее
Lighter,Светлее
Reset to default,Сбросить к значениям по умолчанию
If the “Check adjusted settings” button isn’t clickable even after drawing a line,Если кнопка «Проверить настроенные параметры» неактивна даже после рисования линии
Use Wintab tablet,Использовать планшет Wintab
Use Tablet PC,Использовать планшетный ПК
Skip setup,Пропустить настройку
Show pen pressure graph,Показать график нажима пера
Pen pressure,Нажим пера
You can edit these settings from the File menu > Pen Pressure Settings.,Вы можете изменить эти настройки в меню «Файл» > «Настройки нажима пера».
You can edit these settings from the [CLIP STUDIO PAINT] menu > [Pen Pressure Settings].,Вы можете изменить эти настройки в меню [CLIP STUDIO PAINT] > [Настройки нажима пера].
You can edit these settings in Studio Mode from the Clip Studio Paint logo menu > Pen Pressure Settings.,Вы можете изменить эти настройки в режиме студии в меню логотипа Clip Studio Paint > «Настройки нажима пера».
The 3D data has been changed and can now be opened normally in Clip Studio Paint.,3D-данные были изменены и теперь могут нормально открываться в Clip Studio Paint.
"The 3D data has been changed and can now be opened normally in Clip Studio Paint.

Your report data has been saved. Please send this to our support team in order to investigate the issue.",
Contact our support team,Связаться с нашей службой поддержки
"Could not open %s normally.
Changes will be made in order to open the canvas.

Do you want to save reporting data before opening the canvas?
You can send the saved report data to our support team to investigate the issue.",
Why am I seeing this message?,Почему я вижу это сообщение?
Details of changes,Сведения об изменениях
Do not save,Не сохранять
Basic expression color,Базовый цвет выражения
Default frequency,Частота по умолчанию
Register for Auto Action,Зарегистрировать для автооперации
Paper color,Цвет бумаги
Animation cel settings,Настройки ячейки анимации
Color profile settings,Настройки цветового профиля
Timeline settings,Настройки шкалы времени
Parameters to be registered for Auto Action,Параметры для регистрации в автооперации
Reference point,Опорная точка
Unit,Единица
Center canvas,Центрировать холст
Width size is invalid. Please enter a value between %d and %d.,Недопустимый размер ширины. Введите значение от %d до %d.
Height size is invalid. Please enter a value between %d and %d.,Недопустимый размер высоты. Введите значение от %d до %d.
Width size is invalid. Please enter a value between %.2f and %.2f.,Недопустимый размер ширины. Введите значение от %.2f до %.2f.
Height size is invalid. Please enter a value between %.2f and %.2f.,Недопустимый размер высоты. Введите значение от %.2f до %.2f.
The crop marks and inner border will be deleted if the canvas is not centered. Do you want to proceed?,"Метки обрезки и внутренняя граница будут удалены, если холст не центрирован. Продолжить?"
The current settings will be reset if the canvas is centered. Do you want to proceed?,"Текущие настройки будут сброшены, если холст центрирован. Продолжить?"
Add control point,Добавить контрольную точку
Delete control point,Удалить контрольную точку
Switch corner,Переключить угол
Split line,Разделить линию
Add vanishing point,Добавить точку схода
Delete vanishing point,Удалить точку схода
Add guide,Добавить направляющую
Delete guide,Удалить направляющую
Fix vanishing point,Зафиксировать точку схода
Infinitize,Сделать бесконечным
Enable snapping to vanishing point,Включить привязку к точке схода
Fix eye level,Зафиксировать линию горизонта
Horizontalize eye level,Выровнять линию горизонта по горизонтали
%d dpi,%d точек/дюйм
Pixel,Пиксель
Don't change number of pixels,Не менять количество пикселей
Interpolation method,Метод интерполяции
Smooth edges (bilinear),Сглаженные края (билинейная)
Hard edges (nearest neighbor),Резкие края (метод ближайшего соседа)
Clear edges (bicubic),Чёткие края (бикубическая)
High accuracy (average colors),Высокая точность (усреднение цветов)
Super resolution (Smart Smoothing),Сверхвысокое разрешение (умное сглаживание)
Files to assign,Файлы для назначения
Name of member,Имя участника
Comment,Комментарий
Give instructions to other users,Дать указания другим пользователям
Assign to yourself,Назначить себе
You are trying to assign a file that is already assigned to another user. Do you want to continue?,"Вы пытаетесь назначить файл, который уже назначен другому пользователю. Продолжить?"
Enter member name.,Введите имя участника.
The member name is too long.,Имя участника слишком длинное.
Only the administrator can edit the page management file.,Только администратор может редактировать файл управления страницами.
"Assign members to the pages you want to edit.
To change the order of the pages, assign someone to the page management file.",
"There is no one assigned for this operation.
Please assign members to the pages you want to edit.
To change the order of the pages, assign someone to the page management file.",
File to cancel change,Файл для отмены изменения
"Discard your changes to the work folder and 
download the group work data again.
If you discard your changes here, you will not be able to restore them.",
Reflected file,Отражённый файл
You are trying to update group work data for a file that isn’t assigned to you. Do you want to continue?,"Вы пытаетесь обновить данные групповой работы для файла, который не назначен вам. Продолжить?"
You are trying to update group work data for a file assigned to another user. Do you want to continue?,"Вы пытаетесь обновить данные групповой работы для файла, назначенного другому пользователю. Продолжить?"
Conflicting files cannot be updated to the group work data.,Конфликтующие файлы нельзя обновить в данных групповой работы.
Your change in work folder will be reflected to group work data.,Ваше изменение в рабочей папке будет отражено в данных групповой работы.
Open conflicting file (for administrator),Открыть конфликтующий файл (для администратора)
Resolve conflict (for administrator),Разрешить конфликт (для администратора)
File to open,Файл для открытия
File to keep,Файл для сохранения
Show only the latest one,Показывать только последний
Keep selected file in the following list and delete another file.,Оставить выбранный файл в следующем списке и удалить другой файл.
Keep selected file in the following list and delete all other files.,Оставить выбранный файл в следующем списке и удалить все остальные файлы.
File on hand,Файл на руках
File from group work data,Файл из данных групповой работы
There is no file selected.,Не выбран ни один файл.
Member's comment,Комментарий участника
Assigned member,Назначенный участник
%s %d/%02d/%02d %02d: %02d %s: %s,%s %d/%02d/%02d %02d: %02d %s: %s
(instruction),(инструкция)
You cannot access to group work data.,У вас нет доступа к данным групповой работы.
Files to unassign,Файлы для отмены назначения
The selected file is not assigned to this user.,Выбранный файл не назначен этому пользователю.
Update result,Результат обновления
Result of change,Результат изменения
Result of cancel,Результат отмены
Log,Журнал
Result,Результат
Change File,Изменить файл
Show all logs,Показать все журналы
Show log of selected page,Показать журнал выбранной страницы
Show log of page management file,Показать журнал файла управления страницами
Record number: %d,Номер записи: %d
Error: Failed to process.,Ошибка: Не удалось выполнить обработку.
Error: Page management file conflicted. Acquire in another work folder and integrate changes.,Ошибка: Конфликт файла управления страницами. Получите его в другой рабочей папке и объедините изменения.
Error: A file with the same name already exists outside this project.,Ошибка: Файл с таким же именем уже существует вне этого проекта.
Error: File conflicts with a file that already has conflicts.,"Ошибка: Файл конфликтует с файлом, у которого уже есть конфликты."
Error: Another user is updating changes. Please wait and try again later.,Ошибка: Другой пользователь обновляет изменения. Подождите и повторите попытку позже.
Error: Failed to rewrite information file of group work.,Ошибка: Не удалось перезаписать информационный файл групповой работы.
Error: You cannot access to group work folder.,Ошибка: У вас нет доступа к папке групповой работы.
Error: The operation could not be performed due to conflicting changes.,Ошибка: Не удалось выполнить операцию из-за конфликтующих изменений.
You cannot access to log file in group work folder.,У вас нет доступа к файлу журнала в папке групповой работы.
Location of group work data (network),Расположение данных групповой работы (сеть)
Location where to create work folder (on this computer),Расположение для создания рабочей папки (на этом компьютере)
Folder name,Имя папки
User name (your name),Имя пользователя (ваше имя)
Select a location of a page management folder shared in network.,"Выберите расположение папки управления страницами, общей в сети."
Select a location of a folder for work with this PC.,Выберите расположение папки для работы на этом ПК.
A folder with the same name already exists in the specified location. Please change the name of the work folder.,Папка с таким же именем уже существует в указанном расположении. Измените имя рабочей папки.
Unable to find group work data. Please select group work data again.,Не удалось найти данные групповой работы. Выберите данные групповой работы снова.
The selected item is not group work data.,Выбранный элемент не является данными групповой работы.
"Could not find the destination to save the work folder, or you may not have selected a folder. Please select a destination folder again.","Не удалось найти место назначения для сохранения рабочей папки, или вы, возможно, не выбрали папку. Выберите папку назначения снова."
Press Browse and choose a folder for group work data.,Нажмите «Обзор» и выберите папку для данных групповой работы.
Press Browse and choose which folder to create the work folder in.,"Нажмите «Обзор» и выберите, в какой папке создать рабочую папку."
Enter name in [Folder name].,Введите имя в поле [Имя папки].
Path of work folder is too long.,Путь рабочей папки слишком длинный.
Enter user name (your name).,Введите имя пользователя (ваше имя).
"The computer that you are using may not work correctly if specifying common folder on Windows to group work folder. 
Use it after confirming with administrator that group work folder is not one on Windows. 
Do you want to proceed?",
"The computer that you are using may not work correctly if specifying common folder on Mac OS to group work folder. 
Use it after confirming with administrator that group work folder is not one on Mac OS. 
Do you want to proceed?",
"Obtain group work data and participate in work.
Before using this feature, please refer
to the “Group work” section of the Instruction Manual.",
"Confirm with instructor of this work for how to set location of
group work data.",
Group work settings,Настройки групповой работы
Group work data,Данные групповой работы
Work folder,Рабочая папка
User name,Имя пользователя
Authority,Полномочия
Only open assigned files,Открывать только назначенные файлы
Warn when opening unassigned file,Предупреждать при открытии неназначенного файла
Do not overwrite group work data,Не перезаписывать данные групповой работы
On,Вкл.
Off,Выкл.
Administrator,Администратор
User,Пользователь
Location to create group work data,Расположение для создания данных групповой работы
Group work folder name,Имя папки групповой работы
Recommend network drive to create group work data.,Рекомендуется создавать данные групповой работы на сетевом диске.
"If using a cloud sharing service, please turn on 
[Only open assigned files] and [Do not overwrite group work data]
 before using this feature. Refer to the Instruction Manual for more information.",
Specify location to create folder shared in network.,"Укажите расположение для создания папки, общей в сети."
A folder with the same name already exists in the specified location. Please change the name of the group work folder.,Папка с таким же именем уже существует в указанном расположении. Измените имя папки групповой работы.
Could not find the save folder. Please select a save folder again.,Не удалось найти папку сохранения. Выберите папку сохранения снова.
Press Browse and choose a save folder.,Нажмите «Обзор» и выберите папку сохранения.
Enter name in [Group work folder name].,Введите имя в поле [Имя папки групповой работы].
"The copied folder contains a file with a directory path that is too long, so it could not be shared. 
Please close the application and move the page management folder to a location with a shorter path.",
Path of group work folder is too long.,Путь папки групповой работы слишком длинный.
"This will prepare the data for group work.
Before using this feature, please refer
to the “Group work” section of the Instruction Manual.",
Gradient balance,Баланс градиента
Color level,Уровень цвета
Cyan,Голубой
Magenta,Пурпурный
Yellow,Жёлтый
Red,Красный
Green,Зелёный
Blue,Синий
Shadow,Тень
Half tone,Полутон
Highlight,Блик
Keep brightness,Сохранять яркость
10-by-10 grid,Сетка 10 на 10
20-by-20 grid,Сетка 20 на 20
30-by-30 grid,Сетка 30 на 30
Small tiles (7 pt),Маленькие плитки (7 пт)
Medium tiles (10 pt),Средние плитки (10 пт)
Large tiles (15 pt),Большие плитки (15 пт)
Show grid,Показать сетку
Clear color history,Очистить историю цветов
Extra small tiles,Очень маленькие плитки
Small tiles,Маленькие плитки
Medium tiles,Средние плитки
Large tiles,Большие плитки
Extra large tiles,Очень большие плитки
8 tiles per row,8 плиток в ряд
16 tiles per row,16 плиток в ряд
24 tiles per row,24 плитки в ряд
Register to color set palette,Зарегистрировать в палитре наборов цветов
Change color name,Изменить имя цвета
Edit color sets,Редактировать наборы цветов
Add standard set,Добавить стандартный набор
Rename,Переименовать
New color set,Новый набор цветов
Default color set,Набор цветов по умолчанию
%s %d,%s %d
Switch color set,Переключить набор цветов
Add color,Добавить цвет
Replace color,Заменить цвет
Delete color,Удалить цвет
Small list,Маленький список
Medium list,Средний список
Large list,Большой список
Show color set bar,Показать панель набора цветов
Import color set,Импортировать набор цветов
Export color set,Экспортировать набор цветов
Register color set as material,Зарегистрировать набор цветов как материал
Add color set,Добавить набор цветов
Color set file (*.cls)|*.cls|Photoshop swatch file (*.aco)|*.aco,Файл набора цветов (*.cls)|*.cls|Файл образцов Photoshop (*.aco)|*.aco
All supported formats |*.cls;*.aco|Color set file (*.cls)|*.cls|Photoshop swatch file (*.aco)|*.aco,Все поддерживаемые форматы |*.cls;*.aco|Файл набора цветов (*.cls)|*.cls|Файл образцов Photoshop (*.aco)|*.aco
Auto-register color in eyedropper,Автоматически регистрировать цвет в пипетке
Change Order,Изменить порядок
It contains unknown format or corrupted ACO file. This data will not be imported.,Содержит неизвестный формат или повреждённый файл ACO. Эти данные не будут импортированы.
"ACO file contains unknown color space swatch. 
This swatch data will not imported properly.",
"ACO file contains CMYK or Lab color space swatch. 
This swatch data will be converted into RGB, so it might be imported with unexpected colors.",
File format is different. It cannot be imported.,Формат файла отличается. Его нельзя импортировать.
"File version number is different, so it cannot be used.","Номер версии файла отличается, поэтому его нельзя использовать."
Number of color sets are at maximum (%d). It cannot be imported.,Количество наборов цветов достигло максимума (%d). Его нельзя импортировать.
This is color set file which colors are not registered. It cannot be imported.,"Это файл набора цветов, в котором цвета не зарегистрированы. Его нельзя импортировать."
"Color is not registered to color set, so it cannot be exported.","Цвет не зарегистрирован в наборе цветов, поэтому его нельзя экспортировать."
Successfully registered to color set palette.,Успешно зарегистрировано в палитре наборов цветов.
R: %3d G: %3d B: %3d,К: %3d З: %3d С: %3d
H: %3d S: %3d V: %3d,H: %3d S: %3d V: %3d
Search for color sets on ASSETS,Искать наборы цветов в ASSETS
Source,Источник
Select from files,Выбрать из файлов
Select from photo library,Выбрать из фотоальбома
Add from camera,Добавить с камеры
Delete image,Удалить изображение
Do you want to delete the selected image?,Вы действительно хотите удалить выбранное изображение?
Edit gradient,Редактировать градиент
Add gradient set from materials,Добавить набор градиентов из материалов
Intensity,Интенсивность
Maintain brightness,Сохранять яркость
Cannot add image because the maximum number of images has already been added.,"Не удаётся добавить изображение, так как уже добавлено максимальное количество изображений."
The specified image cannot be used for Color Match.,Указанное изображение нельзя использовать для подбора цвета.
All supported formats|*.png;*.jpg;*.jpeg;*.tif;*.tiff;*.bmp;*.tga;*.webp;*.clip;*.psd;*.psb|BMP|*.bmp|JPEG|*.jpg;*.jpeg|PNG|*.png|TIFF|*.tif;*.tiff|Targa|*.tga|WebP|*.webp|CLIP STUDIO FORMAT|*.clip|Photoshop Big Document|*.psb|Photoshop Document|*.psd,Все поддерживаемые форматы|*.png;*.jpg;*.jpeg;*.tif;*.tiff;*.bmp;*.tga;*.webp;*.clip;*.psd;*.psb|BMP|*.bmp|JPEG|*.jpg;*.jpeg|PNG|*.png|TIFF|*.tif;*.tiff|Targa|*.tga|WebP|*.webp|ФОРМАТ CLIP STUDIO|*.clip|Большой документ Photoshop|*.psb|Документ Photoshop|*.psd
"Page %d and %d will be combined into a two-page spread. 
If either of these pages are open, the edits will be saved. 
This operation cannot be undone.",
"The following pages will be combined into a two-page spread. 
If either of these pages are open, the edits will be saved. 
This operation cannot be undone.",
"Page %d and %d will be split into separate pages. 
If either of these pages are open, the edits will be saved. 
 This operation cannot be undone.",
"The following page will be split into separate pages. 
If either of these pages are open, the edits will be saved. 
 This operation cannot be undone.",
"The cover and back cover will be combined into a two-page spread. 
If either of these pages are open, the edits will be saved. 
This operation cannot be undone.",
"Split the cover and back cover into separate pages. 
If either of these pages are open, the edits will be saved. 
This operation cannot be undone.",
Align crop marks,Выровнять метки обрезки
Gap,Интервал
Delete empty layers,Удалить пустые слои
(There is no selected page to process.),(Нет выбранной страницы для обработки.)
Cover page and back cover page,Страница обложки и страница задней обложки
Cover page (inside) or back cover page (inside),Страница обложки (внутренняя сторона) или страница задней обложки (внутренняя сторона)
Page %d and page %d,Страница %d и страница %d
Page %d,Страница %d
The following cannot be changed to single pages.,Следующее нельзя изменить на отдельные страницы.
The following cannot be changed to a two-page spread.,Следующее нельзя изменить на разворот.
%s : %s,%s : %s
Set the gap for aligning the crop marks to %s or less so that the trim size can fit within the canvas size.,"Задайте зазор для выравнивания меток обрезки в %s или меньше, чтобы размер обрезки помещался в размер холста."
Output Settings,Настройки вывода
Darker line,Темнее линия
Lighter line,Светлее линия
Specify the output of gradient with curve,Указать вывод градиента с помощью кривой
Pen,Перо
Pencil,Карандаш
Airbrush,Аэрограф
Watercolor,Акварель
Pattern brush,Кисть с узором
Brush,Кисть
Eraser,Ластик
Closed area fill,Заливка замкнутой области
Burn,Затемнение
Dodge,Осветление
Blur brush,Кисть размытия
Stamp,Штамп
Straight line,Прямая линия
Curve,Кривая
Polyline,Ломаная линия
Figure,Фигура
Bezier curve,Кривая Безье
Rectangle,Прямоугольник
Ellipse,Эллипс
Polygon,Многоугольник
Select rectangle,Выделить прямоугольник
Lasso,Лассо
Magic wand,Волшебная палочка
Pinch line,Сжать линию
Adjust line width,Настроить ширину линии
Edit line,Редактировать линию
Remove dust,Удалить пыль
Magic,Волшебная палочка
Text,Текст
Freeform gradient,Произвольный градиент
Burn/Dodge/Blur brush/Stamp,Затемнение/Осветление/Кисть размытия/Штамп
Straight/Curve/Polyline/Figure/Bezier curve,Прямая/Кривая/Ломаная/Фигура/Кривая Безье
Rectangle/Polyline/Lasso,Прямоугольник/ломаная/лассо
Pinch line/Adjust line width/Edit line,Сжать линию/Настроить ширину линии/Редактировать линию
Text style,Стиль текста
Burn/Dodge/Stamp,Затемнение/Осветление/Штамп
Straight/Curve/Polyline/Rectangle/Ellipse/Polygon/Create path,Прямая/Кривая/Ломаная/Прямоугольник/Эллипс/Многоугольник/Создать контур
Select rectangle/Select ellipse/Select polyline/Select lasso,Выделить прямоугольник/Выделить эллипс/Выделить ломаной/Выделить лассо
Migrate tool preference from IllustStudio,Перенести настройки инструмента из IllustStudio
Migrate tool preference from ComicStudio 4.0,Перенести настройки инструмента из ComicStudio 4.0
Location of IllustStudio user data folder,Расположение папки пользовательских данных IllustStudio
"Please specify folder with various settings file of IllustStudio.
Folder is the same as one specified in [Folder path] of preferences of IllustStudio.",
Location of IllustStudio execution file,Расположение исполняемого файла IllustStudio
